id,category_code,degree,domain_name,original_phases,replace_type,target_produced_words1,target_produced_words2,Word,Sentiment
14443,28,80,general,strung out,Ngram,strung-out,strung-out,strung-out,Negative
14444,27,80,general,self-love,Ngram,self-love,self-love,self-love,Positive
14445,28,80,general,feeling of mercy toward another,Ngram,feeling-of-mercy-toward-another,feeling-of-mercy-toward-another,feeling-of-mercy-toward-another,Negative
14446,28,80,general,stuff the ballot box,Ngram,stuff-the-ballot-box,stuff-the-ballot-box,stuff-the-ballot-box,Negative
14447,27,80,general,self-pleased,Ngram,self-pleased,self-pleased,self-pleased,Positive
14448,28,80,general,fever pitch,Ngram,fever-pitch,fever-pitch,fever-pitch,Negative
14449,28,80,general,take down a peg,Ngram,take-down-a-peg,take-down-a-peg,take-down-a-peg,Negative
14450,27,80,general,self-possessed,Ngram,self-possessed,self-possessed,self-possessed,Positive
14451,28,80,general,fingers to the bone,Ngram,fingers-to-the-bone,fingers-to-the-bone,fingers-to-the-bone,Negative
14452,28,80,general,take the bread out of ,Ngram,take-the-bread-out-of,take-the-bread-out-of,take-the-bread-out-of,Negative
14453,27,80,general,self-regard,Ngram,self-regard,self-regard,self-regard,Positive
14454,28,80,general,flare-up,Ngram,flare-up,flare-up,flare-up,Negative
14455,28,80,general,take the wind out,Ngram,take-the-wind-out,take-the-wind-out,take-the-wind-out,Negative
14456,27,80,general,self-respect,Ngram,self-respect,self-respect,self-respect,Positive
14457,28,80,general,flight of fancy,Ngram,flight-of-fancy,flight-of-fancy,flight-of-fancy,Negative
14458,28,80,general,tar and feather,Ngram,tar-and-feather,tar-and-feather,tar-and-feather,Negative
14459,27,80,general,self-satisfaction,Ngram,self-satisfaction,self-satisfaction,self-satisfaction,Positive
14460,28,80,general,flip one's lid,Ngram,flip-one's-lid,flip-ones-lid,flip-one's-lid,Negative
14461,28,80,general,tarred with the same brush,Ngram,tarred-with-the-same-brush,tarred-with-the-same-brush,tarred-with-the-same-brush,Negative
14462,27,80,general,self-satisfied,Ngram,self-satisfied,self-satisfied,self-satisfied,Positive
14463,28,80,general,for the birds,Ngram,for-the-birds,for-the-birds,for-the-birds,Negative
14464,28,80,general,temper tantrum,Ngram,temper-tantrum,temper-tantrum,temper-tantrum,Negative
14465,27,80,general,self-sufficiency,Ngram,self-sufficiency,self-sufficiency,self-sufficiency,Positive
14466,28,80,general,foul up,Ngram,foul-up,foul-up,foul-up,Negative
14467,28,80,general,terror-stricken,Ngram,terror-stricken,terror-stricken,terror-stricken,Negative
14468,27,80,general,self-trust,Ngram,self-trust,self-trust,self-trust,Positive
14469,28,80,general,fouled up,Ngram,fouled-up,fouled-up,fouled-up,Negative
14470,28,80,general,the last straw that broke the camel's back,Ngram,the-last-straw-that-broke-the-camel's-back,the-last-straw-that-broke-the-camels-back,the-last-straw-that-broke-the-camel's-back,Negative
14471,27,80,general,self-worth,Ngram,self-worth,self-worth,self-worth,Positive
14472,28,80,general,freaked out,Ngram,freaked-out,freaked-out,freaked-out,Negative
14473,28,80,general,thick-skinned,Ngram,thick-skinned,thick-skinned,thick-skinned,Negative
14474,27,80,general,self admiration,Ngram,self-admiration,self-admiration,self-admiration,Positive
14475,28,80,general,free-for-all,Ngram,free-for-all,free-for-all,free-for-all,Negative
14476,28,80,general,think little of,Ngram,think-little-of,think-little-of,think-little-of,Negative
14477,27,80,general,self assured,Ngram,self-assured,self-assured,self-assured,Positive
14478,28,80,general,full of sorrow,Ngram,full-of-sorrow,full-of-sorrow,full-of-sorrow,Negative
14479,28,80,general,thin-skinned,Ngram,thin-skinned,thin-skinned,thin-skinned,Negative
